, ,Area,Mean,Min,Max,X,Y
17_030_Gm,2,0,118,118,118,371.333,2117
17_030_Gm,3,0,34,34,34,460,1921
17_030_Gm,4,0,54,54,54,929.667,2075.333
17_030_Gm,5,0,71,71,71,1129,1740.5
17_030_Gm,6,0,31,31,31,1581,1792
17_030_Gm,7,0,32,32,32,2368.5,1922.5
17_030_Gm,8,0,47,47,47,2907.5,2074.5
17_030_Gm,9,0,101,101,101,2903,2279
17_030_Gm,10,0,129,129,129,2410.667,2333
17_030_Gm,11,0,125,125,125,1696.5,2485
17_030_Gm,12,0,141,141,141,901,2422.5
17_030_Gm,13,0,158,158,158,3450,2262
17_030_Gm,14,0,131,131,131,517.167,1034.5
17_030_Gm,15,0,111,111,111,1027.25,1041
17_031_Gm,1,0,156,156,156,1192.5,1582
17_031_Gm,2,0,141,141,141,1419,1663.667
17_031_Gm,3,0,42,42,42,1451.5,1478
17_031_Gm,4,0,97,97,97,1928.5,1551.5
17_031_Gm,5,0,91,91,91,2022.5,1237.5
17_031_Gm,6,0,101,101,101,2427,1254.5
17_031_Gm,7,0,90,90,90,3045.667,1347.667
17_031_Gm,8,0,48,48,48,3511,1387
17_031_Gm,9,0,84,84,84,3554.75,1558.75
17_031_Gm,10,0,81,81,81,3139,1689.333
17_031_Gm,11,0,87,87,87,2529.667,1798
17_031_Gm,12,0,100,100,100,1864,1798
17_031_Gm,13,0,97,97,97,3983.333,1419
17_031_Gm,14,0,153,153,153,1908.167,601.667
17_031_Gm,15,0,157,157,157,2382.917,596.917
17_032_Gm,1,0,155,155,155,351,1737.667
17_032_Gm,2,0,167,167,167,559,1833.667
17_032_Gm,3,0,63,63,63,668.667,1635
17_032_Gm,4,0,42,42,42,1282.5,1797
17_032_Gm,5,0,39,39,39,1427.5,1441
17_032_Gm,6,0,50,50,50,1992,1509.5
17_032_Gm,7,0,53,53,53,2761,1644
17_032_Gm,8,0,52,52,52,3368,1787.5
17_032_Gm,9,0,88,88,88,3372.5,2008.5
17_032_Gm,10,0,128,128,128,2840,2091
17_032_Gm,11,0,148,148,148,2087,2226.5
17_032_Gm,12,0,188,188,188,1293.5,2182.5
17_032_Gm,13,0,150,150,150,3910,1914
17_032_Gm,14,0,98,98,98,531.333,165.167
17_032_Gm,15,0,138,138,138,1171.625,168.875
17_033_Gm,1,0,189,189,189,146.667,1450.667
17_033_Gm,2,0,139,139,139,321.333,1525.333
17_033_Gm,3,0,27,27,27,397.667,1381
17_033_Gm,4,0,32,32,32,813,1498.333
17_033_Gm,5,0,53,53,53,930,1284.5
17_033_Gm,6,0,27,27,27,1290.333,1345.667
17_033_Gm,7,0,78,78,78,1786.333,1468
17_033_Gm,8,0,58,58,58,2213.333,1506.667
17_033_Gm,9,0,82,82,82,2226.25,1647.25
17_033_Gm,10,0,111,111,111,1843.5,1752
17_033_Gm,11,0,91,91,91,1288,1800
17_033_Gm,12,0,148,148,148,776.333,1751
17_033_Gm,13,0,84,84,84,2608,1554
17_033_Gm,14,0,74,74,74,1403.5,823
17_033_Gm,15,0,103,103,103,1946.333,817.167
17_034_Gm,1,0,181,181,181,905.5,1798
17_034_Gm,2,0,129,129,129,1150.333,1883.667
17_034_Gm,3,0,49,49,49,1181.667,1669.667
17_034_Gm,4,0,70,70,70,1725,1753.333
17_034_Gm,5,0,157,157,157,1830.5,1411.5
17_034_Gm,6,0,151,151,151,2272.5,1448.5
17_034_Gm,7,0,141,141,141,2951.5,1608.5
17_034_Gm,8,0,87,87,87,3431,1726.5
17_034_Gm,9,0,70,70,70,3411,1904
17_034_Gm,10,0,101,101,101,3011,1965
17_034_Gm,11,0,77,77,77,2368,2060.5
17_034_Gm,12,0,140,140,140,1674,2065.5
17_034_Gm,13,0,37,37,37,3896,1833
17_034_Gm,14,0,175,175,175,1754.75,793
17_034_Gm,15,0,154,154,154,2195,813.062
